model,horizon,mape^2,mape,MSE
XGBoost,1,0.00038209057601092106,0.015101382542322694,2.215821495924728
XGBoost,5,0.0015370489657037113,0.031273708996266955,8.707663866927762
XGBoost,10,0.00307367748635096,0.04706045104467967,17.75644194307948
XGBoost,20,0.004837170898442317,0.05802392284999709,27.214838616667997
ARIMA,1,0.000411104532787901,0.015725187702900847,2.395195486677135
ARIMA,5,0.0018588426033358133,0.03372506718576622,10.565039945112332
ARIMA,10,0.0038405895636681015,0.049678504511135306,21.748549073004476
ARIMA,20,0.0074824470310044895,0.0707733861716976,41.888947558955145
LSTM,1,0.010293525445997473,0.08108210001511239,4.234788899417014
LSTM,5,0.009336959805223593,0.0777104172447816,2.7003680221336417
LSTM,10,0.009185248139558901,0.07827710532820951,5.207139298353745
LSTM,20,0.007631656993281517,0.07146104659415907,8.64287680022585
