model,horizon,mape^2,mape,MSE
XGBoost,1,0.30886702497416046,0.3611491583923159,329.14398350441445
XGBoost,5,0.42085208004605446,0.4439706073735365,467.3507679694781
XGBoost,10,0.4960179460051523,0.5053900674012249,572.3820308328161
XGBoost,20,0.43364654986707235,0.49307466379563003,521.2370001767667
ARIMA,1,0.001828106299295464,0.023243355629371562,2.954167704623704
ARIMA,5,0.009447808951502544,0.055597418884436735,15.190420785082242
ARIMA,10,0.026472318079878564,0.08743162438232945,36.25050613950444
ARIMA,20,0.060798077845553175,0.13625614348295437,86.64570880915596
LSTM,1,0.013637587255865037,0.0807476751937672,17.674705311944813
LSTM,5,0.0990791359318845,0.2104456450712432,106.90973320727176
LSTM,10,0.07735030902225656,0.16817192350980215,80.35277625101189
LSTM,20,0.11412285050668636,0.2058396849022521,126.79159747898709
